TimeEST,TemperatureF,Dew PointF,Humidity,Sea Level PressureIn,VisibilityMPH,Wind Direction,Wind SpeedMPH,Gust SpeedMPH,PrecipitationIn,Events,Conditions,WindDirDegrees,DateUTC
12:51 AM,39.2,33.8,81,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 5:51
1:51 AM,39.2,33.8,81,30.16,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 6:51
2:51 AM,39,34,82,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 7:51
3:51 AM,36,33.1,89,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 8:51
4:51 AM,35.1,33.1,92,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 9:51
5:51 AM,37,33.1,86,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 10:51
6:51 AM,37.9,33.1,83,30.15,10,Calm,Calm,-,N/A,,Clear,0,1/1/12 11:51
7:51 AM,37.9,34,86,30.15,10,Calm,Calm,-,N/A,,Partly Cloudy,0,1/1/12 12:51
8:51 AM,46.9,37.9,71,30.15,10,Calm,Calm,-,N/A,,Scattered Clouds,0,1/1/12 13:51
9:51 AM,53.6,39.2,58,30.14,10,SSW,11.5,-,N/A,,Mostly Cloudy,210,1/1/12 14:51
10:51 AM,60.1,37.9,44,30.11,10,SSW,17.3,21.9,N/A,,Mostly Cloudy,210,1/1/12 15:51
11:51 AM,63,37,38,30.04,10,SSW,16.1,19.6,N/A,,Scattered Clouds,200,1/1/12 16:51
12:51 PM,66.9,37.9,34,29.98,10,SSW,17.3,25.3,N/A,,Mostly Cloudy,210,1/1/12 17:51
2:51 PM,66,39.9,38,29.91,10,SSW,15,23,N/A,,Mostly Cloudy,210,1/1/12 19:51
3:51 PM,66.9,44.1,44,29.87,10,SSW,16.1,24.2,N/A,,Mostly Cloudy,200,1/1/12 20:51
4:51 PM,64.9,45,48,29.88,10,SSW,19.6,25.3,N/A,,Mostly Cloudy,200,1/1/12 21:51
5:51 PM,64,46.9,54,29.9,10,SW,10.4,-,N/A,,Mostly Cloudy,230,1/1/12 22:51
6:51 PM,64,48,56,29.89,10,SSW,11.5,-,N/A,,Overcast,210,1/1/12 23:51
7:51 PM,60.1,52,75,29.92,10,Variable,3.5,-,0.01,,Mostly Cloudy,0,1/2/12 0:51
8:51 PM,59,52,78,29.91,10,WSW,3.5,-,N/A,,Overcast,250,1/2/12 1:51
9:51 PM,60.1,45,57,29.92,10,WNW,9.2,-,N/A,,Overcast,290,1/2/12 2:51
10:51 PM,57.9,39.9,51,29.95,10,WNW,10.4,19.6,N/A,,Overcast,290,1/2/12 3:51
11:51 PM,55.4,32,41,29.96,10,NW,10.4,21.9,N/A,,Mostly Cloudy,310,1/2/12 4:51